shot,nstxu_204202
n_total_files,725
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,261
n_mixed,14
n_eae_like,450
n_sent_to_classifiers,275
n_gold_good,54
n_silver_good,6
n_good_before_clustering,64
n_final_good,63
n_final_bad,211
n_flagged,20
fraction_good,0.2290909090909091
fraction_flagged,0.07272727272727272
rf_cnn_agreement_fraction,0.9527272727272728
mean_p_rf_good,0.2482787878787879
mean_p_cnn_good,0.25079463744085884
median_p_rf_good,0.04
median_p_cnn_good,0.0
mode_clusters_removed,1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
